"ID Tâche";"Catégorie";"Titre de la Tâche";"Description & Instructions Pratiques";"Responsable";"Priorité";"Statut";"Coût Estimé (FCFA)";"Délai Recommandé";"Livrable Attendu"
"TASK-01";"1. Téléphonie & Paiements";"Activer la ligne WhatsApp Business Agence";"Prendre une carte SIM dédiée au support client Lou Ame Tay et installer WhatsApp Business avec logo et horaires";"Fondateur / Gérant";"HAUTE";"À faire";"1 000 FCFA";"Jour 1";"Numéro WhatsApp opérationnel"
"TASK-02";"1. Téléphonie & Paiements";"Configurer le compte Wave Marchand / Réception";"Créer ou vérifier le compte Wave pour recevoir les paiements d'abonnements et de chevalets (activer les notifications)";"Gérant / Trésorerie";"HAUTE";"À faire";"0 FCFA";"Jour 1";"Numéro Wave de paiement actif"
"TASK-03";"1. Téléphonie & Paiements";"Configurer le compte Orange Money";"Vérifier le solde et la réception sur le compte Orange Money de secours";"Gérant / Trésorerie";"MOYENNE";"À faire";"0 FCFA";"Jour 1";"Numéro OM prêt"
"TASK-04";"2. Cloud & Hébergement";"Créer la base de données Cloud sur Supabase";"Créer un compte sur supabase.com, nouveau projet en région Europe/Frankfurt, copier DATABASE_URL et DIRECT_URL";"Responsable Technique";"HAUTE";"À faire";"0 FCFA (Gratuit)";"Jour 1";"2 URLs de connexion PostgreSQL"
"TASK-05";"2. Cloud & Hébergement";"Déployer le projet sur Vercel";"Connecter le dépôt GitHub sur vercel.com, renseigner les variables d'environnement (.env.example) et lancer le build";"Responsable Technique";"HAUTE";"À faire";"0 FCFA (Gratuit)";"Jour 1";"Site en ligne avec HTTPS"
"TASK-06";"2. Cloud & Hébergement";"Exécuter la migration et le seed PostgreSQL";"Lancer 'npx prisma db push' puis 'npx prisma db seed' pour insérer les 7 catégories de plats sénégalais";"Responsable Technique";"HAUTE";"À faire";"0 FCFA";"Jour 1";"Base de données initialisée"
"TASK-07";"2. Cloud & Hébergement";"Acheter et lier le nom de domaine (louametay.sn)";"Acheter le nom de domaine chez un registrar agréé NIC.SN et configurer le CNAME vers cname.vercel-dns.com";"Fondateur";"MOYENNE";"À faire";"15 000 à 25 000 FCFA / an";"Jour 2";"Domaine officiel actif"
"TASK-08";"3. Sécurité & Accès";"Changer le mot de passe Super Admin";"Remplacer 'admin123' par un mot de passe sécurisé dans SUPER_ADMIN_PASSWORD_HASH sur Vercel";"Fondateur";"HAUTE";"À faire";"0 FCFA";"Jour 1";"Portail Super Admin sécurisé"
"TASK-09";"4. Logistique & Imprimerie";"Sélectionner un imprimeur partenaire (Dakar / Thiès)";"Contacter une imprimerie pour l'impression A5 couleur 300 DPI, plastification 125 microns et supports chevalets PVC";"Responsable Opérations";"HAUTE";"À faire";"0 FCFA (Négociation)";"Jour 2";"Grille tarifaire imprimeur fixée"
"TASK-10";"4. Logistique & Imprimerie";"Tester l'impression d'un jeu pilote (Tables 1 à 12)";"Exporter le CSV d'un restaurant test depuis le Super Admin et faire imprimer le 1er lot d'échantillons";"Responsable Opérations";"HAUTE";"À faire";"5 000 FCFA";"Jour 2";"12 chevalets physiques en main"
"TASK-11";"4. Logistique & Imprimerie";"Organiser le réseau de livreurs Tiak-Tiak";"Avoir les contacts de 2 à 3 livreurs fiables à Dakar et Thiès pour les livraisons en 24h chez les restaurateurs";"Responsable Opérations";"MOYENNE";"À faire";"1 500 à 2 000 FCFA / course";"Jour 3";"Carnet de livreurs partenaires"
"TASK-12";"5. Déploiement & Vente Terrain";"Préparer la plaquette commerciale & argumentaire";"Imprimer 20 flyers ou présenter la démo smartphone (gain de temps serveur, pas d'attente client, vue 360°)";"Commercial / Fondateur";"HAUTE";"À faire";"3 000 FCFA";"Jour 3";"Support de vente prêt"
"TASK-13";"5. Déploiement & Vente Terrain";"Signer et installer le 1er Restaurant Pilote";"Créer le restaurant en 30s sur le Super Admin, poser les 12 chevalets sur les tables, configurer l'écran cuisine sur la tablette du chef";"Fondateur & Commercial";"HAUTE";"À faire";"0 FCFA";"Jour 4";"1er restaurant en production réelle"
"TASK-14";"5. Déploiement & Vente Terrain";"Tester le cycle complet en conditions réelles";"Commander depuis une table avec un smartphone, vérifier le bip sonore en cuisine, servir le plat et vérifier les statistiques";"Équipe Projet";"HAUTE";"À faire";"0 FCFA";"Jour 4";"Validation opérationnelle finale"
"TASK-15";"6. Suivi & Fidélisation";"Suivi de l'alerte inactivité (< 5 scans/semaine)";"Consulter le Super Admin chaque matin pour détecter les restaurants à faible activité et appeler les gérants";"Service Client";"MOYENNE";"À faire";"0 FCFA";"Quotidien";"Rapport de rétention client"
"TASK-16";"6. Suivi & Fidélisation";"Envoi des relances automatiques WhatsApp J-5";"Cliquer sur le bouton WhatsApp du Super Admin 5 jours avant l'échéance pour envoyer le lien de paiement Wave/OM";"Service Client";"HAUTE";"À faire";"0 FCFA";"Mensuel";"Encaissement des abonnements MRR"
